Date;AAPL;Tesla;KU2;Facebook
25.04.13;45.11;39.78;33.6;20.27
26.04.13;45.61;39.28;33.65;20.75
29.04.13;47.13;41.69;33.97;20.65
30.04.13;48.28;42.6;34.17;20.86
02.05.13;49;41.65;33.89;22.15
03.05.13;49.14;42.08;34.28;21.71
06.05.13;50.46;43.74;34.84;21.2
07.05.13;50.11;43.83;34.35;20.74
08.05.13;50.31;43.09;36.64;20.62
09.05.13;50.33;55.99;37.06;20.15
10.05.13;49.78;60.19;36.92;20.6
13.05.13;50.29;65.5;37.03;20.95
14.05.13;49;64.98;37.45;21
15.05.13;47.23;66.88;37.84;20.93
16.05.13;48.21;70.65;38.2;20.3
17.05.13;48.24;71.56;37.81;20.56
20.05.13;49;70.63;38.02;20.02
21.05.13;48.98;68.43;37.45;19.9
22.05.13;49.47;68.46;36.36;19.6
23.05.13;48.69;69.2;36.82;19.38
24.05.13;49;75.91;37.1;18.94
27.05.13;49.24;77.7;37.25;18.82
28.05.13;49.02;80.72;37.73;18.85
29.05.13;49.28;79.28;36.8;18.2
30.05.13;49.45;80.44;37;18.96
31.05.13;50.25;79.28;36.77;18.79
03.06.13;48.67;70.58;36.81;18.13
04.06.13;49.14;72.71;35.91;17.89
05.06.13;48.69;69.88;34.41;17.51
06.06.13;47.14;72.78;33.38;17.25
07.06.13;47.71;77;33.42;17.68
10.06.13;48.21;76;34.14;18.38
11.06.13;47.44;72.65;33.96;18.22
12.06.13;46.5;74.45;33.18;17.95
13.06.13;46.42;73.38;33.13;17.56
14.06.13;46.15;75.69;33.57;17.62
17.06.13;46.66;77.7;33.51;18.07
18.06.13;45.96;75.6;33.88;18.33
19.06.13;45.53;78.11;33.79;18.25
20.06.13;45.4;77.93;32.67;17.94
21.06.13;44.79;75.39;32.24;18.4
24.06.13;43.64;76.14;31.7;18.07
25.06.13;43.72;78.09;32.71;18.41
26.06.13;43.59;80.08;32.95;18.53
27.06.13;43.25;84.04;33.27;18.92
28.06.13;43.62;83.24;32.44;18.94
01.07.13;45.03;88.08;33.2;19.06
02.07.13;45.77;90.36;33.15;18.9
03.07.13;46.36;88.27;33;18.84
04.07.13;47;91.05;34.1;19.1
05.07.13;46.25;91.72;33.45;18.9
08.07.13;45.92;94.1;34.05;19.21
09.07.13;46.93;97.78;34.4;19.82
10.07.13;46.94;94.7;34.45;19.8
11.07.13;46.79;96.06;34.76;19.72
12.07.13;46.45;98.89;35.05;19.61
15.07.13;46.92;98.09;35.14;20.17
16.07.13;46.58;82.93;35.05;19.99
17.07.13;46.82;89;34.9;20.37
18.07.13;47.31;92.43;36.15;20
19.07.13;46.29;91.55;35.8;19.8
22.07.13;46.08;94.51;35.6;19.68
23.07.13;45.79;92.84;34.07;19.7
24.07.13;47.87;91.7;33.82;19.97
25.07.13;47.43;93.2;33.8;25.3
26.07.13;47.22;97.35;33.58;25.59
29.07.13;48.14;101.86;33.2;26.44
30.07.13;49;96.62;33.1;27.82
31.07.13;48.69;100.26;33.1;27.89
01.08.13;49.27;102.65;33.85;28.71
02.08.13;49.65;103.48;33.88;28.65
05.08.13;50.57;107.27;33.9;29.51
06.08.13;50;109;33.6;29.12
07.08.13;49.85;100.91;34.32;28.95
08.08.13;49.19;117.78;34.49;28.95
09.08.13;48.82;116.01;34.55;28.91
12.08.13;50.14;107.15;34;28.8
13.08.13;51.25;112.3;34.33;28.35
14.08.13;53.84;105.44;34.4;27.99
15.08.13;53.43;105.49;33.25;27.19
16.08.13;53.68;107.44;33.77;27.84
19.08.13;54.86;109.66;33.09;28.6
20.08.13;53.57;109.97;32.44;28.47
21.08.13;53.67;110.62;32.45;28.72
22.08.13;53.32;115;32.94;28.88
23.08.13;53.44;120.51;33.37;29.88
26.08.13;54.33;126.48;33.48;31.06
27.08.13;52.43;125;32.07;29.8
28.08.13;53.05;125.14;32;30.6
29.08.13;53.29;125.63;32.12;31.31
30.08.13;52.75;126;31.74;31.35
02.09.13;53.43;130.15;32.48;31.95
03.09.13;53.03;128.5;32.11;31.52
04.09.13;53.93;126.64;31.62;31.66
