date,index_level
2013-05-03 00:00:00,136.363591373
2013-05-06 00:00:00,139.239057587
2013-05-07 00:00:00,138.112017752
2013-05-08 00:00:00,140.618658314
2013-05-09 00:00:00,155.679965797
2013-05-10 00:00:00,160.421866075
2013-05-13 00:00:00,167.168070837
2013-05-14 00:00:00,166.690896989
2013-05-15 00:00:00,168.652446562
2013-05-16 00:00:00,173.419138493
2013-05-17 00:00:00,174.108341555
2013-05-20 00:00:00,173.239123449
2013-05-21 00:00:00,170.963518596
2013-05-22 00:00:00,169.524361092
2013-05-23 00:00:00,169.336771331
2013-05-24 00:00:00,173.092386659
2013-05-27 00:00:00,174.31340128
2013-05-28 00:00:00,176.582473228
2013-05-29 00:00:00,173.463729098
2013-05-30 00:00:00,176.197244584
2013-05-31 00:00:00,175.563274211
2013-06-03 00:00:00,167.449750951
2013-06-04 00:00:00,167.626854609
2013-06-05 00:00:00,162.963016094
2013-06-06 00:00:00,161.635500685
2013-06-07 00:00:00,165.702775686
2013-06-10 00:00:00,167.866022508
2013-06-11 00:00:00,164.580069828
2013-06-12 00:00:00,163.380354957
2013-06-13 00:00:00,161.752875611
2013-06-14 00:00:00,163.561721795
2013-06-17 00:00:00,166.150162517
2013-06-18 00:00:00,165.227690627
2013-06-19 00:00:00,166.11115029
2013-06-20 00:00:00,163.939413865
2013-06-21 00:00:00,162.348045803
2013-06-24 00:00:00,160.462457565
2013-06-25 00:00:00,163.614946229
2013-06-26 00:00:00,165.253286305
2013-06-27 00:00:00,168.589230575
2013-06-28 00:00:00,167.523497018
2013-07-01 00:00:00,172.862948439
2013-07-02 00:00:00,174.512004551
2013-07-03 00:00:00,173.451248229
2013-07-04 00:00:00,177.537111309
2013-07-05 00:00:00,176.111944784
2013-07-08 00:00:00,178.633774527
2013-07-09 00:00:00,183.501359179
2013-07-10 00:00:00,181.635255308
2013-07-11 00:00:00,182.51668076
2013-07-12 00:00:00,184.043880787
2013-07-15 00:00:00,185.282731435
2013-07-16 00:00:00,175.194296983
2013-07-17 00:00:00,179.779698574
2013-07-18 00:00:00,182.939530295
2013-07-19 00:00:00,180.667009242
2013-07-22 00:00:00,181.809020076
2013-07-23 00:00:00,178.829060806
2013-07-24 00:00:00,180.267792508
2013-07-25 00:00:00,192.306420431
2013-07-26 00:00:00,195.042311163
2013-07-29 00:00:00,200.026929102
2013-07-30 00:00:00,200.445407988
2013-07-31 00:00:00,202.554860555
2013-08-01 00:00:00,207.16131257
2013-08-02 00:00:00,207.910508454
2013-08-05 00:00:00,212.930913719
2013-08-06 00:00:00,212.302492467
2013-08-07 00:00:00,207.661594131
2013-08-08 00:00:00,217.616446442
2013-08-09 00:00:00,216.185877677
2013-08-12 00:00:00,211.055217098
2013-08-13 00:00:00,214.596674029
2013-08-14 00:00:00,211.980347228
2013-08-15 00:00:00,208.60795705
2013-08-16 00:00:00,212.023160659
2013-08-19 00:00:00,215.296936175
2013-08-20 00:00:00,213.325161715
2013-08-21 00:00:00,214.364346843
2013-08-22 00:00:00,217.645080645
2013-08-23 00:00:00,223.782987944
2013-08-26 00:00:00,230.908422566
2013-08-27 00:00:00,223.989573066
2013-08-28 00:00:00,226.27434268
2013-08-29 00:00:00,228.45959355
2013-08-30 00:00:00,227.86284633
2013-09-02 00:00:00,233.149581345
2013-09-03 00:00:00,230.43255589
2013-09-04 00:00:00,229.832194903
2013-09-05 00:00:00,232.641268431
2013-09-06 00:00:00,235.037379489
2013-09-09 00:00:00,232.636887557
2013-09-10 00:00:00,233.426865855
2013-09-11 00:00:00,230.810856475
2013-09-12 00:00:00,232.066739577
2013-09-13 00:00:00,230.349800028
2013-09-16 00:00:00,228.030791805
2013-09-17 00:00:00,229.468879128
2013-09-18 00:00:00,228.713766223
2013-09-19 00:00:00,234.599477445
2013-09-20 00:00:00,235.735433504
2013-09-23 00:00:00,240.663494521
2013-09-24 00:00:00,243.803250648
2013-09-25 00:00:00,244.167722509
2013-09-26 00:00:00,248.378191331
2013-09-27 00:00:00,249.804128171
2013-09-30 00:00:00,250.339639417
2013-10-01 00:00:00,251.000412484
2013-10-02 00:00:00,247.512705033
2013-10-03 00:00:00,239.716940546
2013-10-04 00:00:00,244.529125888
2013-10-07 00:00:00,247.500008518
2013-10-08 00:00:00,237.57174139
2013-10-09 00:00:00,232.949828775
2013-10-10 00:00:00,240.289913433
2013-10-11 00:00:00,242.08355444
2013-10-14 00:00:00,242.359474138
2013-10-15 00:00:00,246.598166188
2013-10-16 00:00:00,247.878873343
2013-10-17 00:00:00,246.537412208
2013-10-18 00:00:00,253.107126463
2013-10-21 00:00:00,251.096611692
2013-10-22 00:00:00,246.187644134
2013-10-23 00:00:00,240.081141259
2013-10-24 00:00:00,243.935341078
2013-10-25 00:00:00,244.941933336
2013-10-28 00:00:00,238.694274022
2013-10-29 00:00:00,237.658666824
2013-10-30 00:00:00,234.542826163
2013-10-31 00:00:00,240.470280276
2013-11-01 00:00:00,240.463277719
2013-11-04 00:00:00,245.426220607
2013-11-05 00:00:00,247.761347497
2013-11-06 00:00:00,236.408628392
2013-11-07 00:00:00,231.235544387
2013-11-08 00:00:00,228.980023987
2013-11-11 00:00:00,230.352055598
2013-11-12 00:00:00,226.493199665
2013-11-13 00:00:00,229.221210806
2013-11-14 00:00:00,229.859563702
2013-11-15 00:00:00,228.139862322
2013-11-18 00:00:00,220.050000595
2013-11-19 00:00:00,218.807950121
2013-11-20 00:00:00,219.768935433
2013-11-21 00:00:00,219.655397361
2013-11-22 00:00:00,217.052512889
2013-11-25 00:00:00,216.344790154
2013-11-26 00:00:00,218.003706603
2013-11-27 00:00:00,220.568264015
2013-11-28 00:00:00,222.931819494
2013-11-29 00:00:00,223.364960368
2013-12-02 00:00:00,222.153389472
2013-12-03 00:00:00,227.285717524
2013-12-04 00:00:00,228.917985024
2013-12-05 00:00:00,229.982182444
2013-12-06 00:00:00,227.391899774
2013-12-09 00:00:00,228.343301683
2013-12-10 00:00:00,233.055776015
2013-12-11 00:00:00,228.927135447
2013-12-12 00:00:00,232.333513698
2013-12-13 00:00:00,239.11370403
2013-12-16 00:00:00,238.370783786
2013-12-17 00:00:00,243.332421234
2013-12-18 00:00:00,238.964998253
2013-12-19 00:00:00,238.29021484
2013-12-20 00:00:00,240.454795785
